zone,ward,ward_name,street_id,street_name,landmark,segment_id,total_length_m,contractor_name,contractor_registration_no,contractor_phone,work_name,sanctioned_amount,sanctioned_year,work_year,work_type,other_work_type,job_work_code,work_order_no,work_order_date,inspection_date,source_pdf
EAST,31,Kushal Nagara,W0205,,anganawadi,31/S-W0205/S115431,156.36,K N Srinivas,,9448086373.0,Providing aspphalting to bad roads of doddanna lane and surroundings in ward no 31,1000000.0,2011.0,Tender,WorkDetails,,031-11-000035,454/2011-12,,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0178,,anganawadi,31/S-W0178/S120204,50.83,K N Srinivas,,9448086373.0,Providing asphalting to bad roads of doddanna lane and surroundings in ward no 31,1000000.0,,Tender,WorkDetails,,031-11-000035,454/2011-12,,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0207,,anganawadi,31/S-W0207/S120443,93.55,K N Srinivas,,9448086373.0,Providing asphalting to bad roads of doddanna lane and surroundings in ward no 31,1000000.0,2011.0,Tender,WorkDetails,,031-11-000035,454/2011-12,,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0178,,nazeer house,31/S-W0178/S120556,50.83,K N Srinivas,,9448086373.0,Providing asphalting to bad roads of doddanna lane and surroundings in ward no 31,1000000.0,2011.0,Tender,WorkDetails,,031-11-000035,454/2011-12,,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0211,,nazeer house,31/S-W0211/S120801,122.87,K N Srinivas,,9448086373.0,Providing asphalting to bad roads of doddanna lane and surroundings in ward no 31,1000000.0,,Tender,WorkDetails,,031-11-000035,454/2011-12,,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0180,,anganawadi,31/S-W0180/S120959,122.26,K N Srinivas,,9448086373.0,Providing asphalting to bad roads of doddanna lane and surroundings in ward no 31,1000000.0,,Tender,WorkDetails,,031-11-000035,454/2011-12,,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0285,,water tank,31/S-W0285/S110223,45.1,B R Pradeep,,9740744655.0,Improvements to roads and drains of rahmaniya mosque area and surroundings in ward no 31,1000000.0,,Tender,WorkDetails,,031-14-000011,163/2013-14,,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0025,"14th Crs, Amc Rd",Saukar lane mosque,31/S-W0025/S061205,79.3,B R Pradeep,,9740744655.0,Construction of RCC drain and road improvemetns to nehru and shastri street,1000000.0,,Tender,WorkDetails,,031-14-000013,162/2013-14,28/12/2013,07/02/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0151,"1st Mn, Hanifia Mosque Rd",hanifia mosque,31/S-W0151/S074455,95.85,KRIDL,,9980406048.0,Improvements to roads and drains of kushalnagara and surroundings in ward 31,1000000.0,2013.0,Tender,WorkDetails,,031-14-000049,10/2014-15,01/07/2014,07/02/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0152,,hanifia mosque,31/S-W0152/S074818,24.4,KRIDL,,9980406048.0,Improvements to roads and drain of kushal nagara and surrounsings in ward 31,1000000.0,2014.0,Tender,WorkDetails,,031-14-000049,10/2014-15,01/07/2014,07/02/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
