incident_id,vehicle_id,vehicle_speed_kmh,deceleration_mps2,jerk_mps3,heading_change_deg,airbag_trigger,impact_sensor_indicator,collision_distance_m,braking_status,nearby_vehicle_count,vehicle_density,road_condition,weather_condition,visibility_km,calculated_collision_probability,road_blockage_probability,emergency_required,severity,accident_detected_label,telemetry_source
ACC-REC-000001,VEH-121,78.6,1.74,2.62,11.9,0,0.011,218.9,NONE,7,0.53,UNDER_CONSTRUCTION,HEAVY_RAIN,2.0,0.054,0.11,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000002,VEH-027,31.2,2.1,0.6,3.6,0,0.016,230.9,NONE,9,0.39,GOOD,CLEAR,10.0,0.058,0.0,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000003,VEH-033,20.0,1.56,0.75,11.3,0,0.139,84.5,NORMAL,14,0.76,FAIR,HEAVY_RAIN,2.0,0.069,0.03,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000004,VEH-137,89.6,9.64,27.12,75.6,1,0.954,5.7,CRASH_STOP,8,0.49,FAIR,CLOUDY,2.0,0.611,0.85,1,HIGH,ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000005,VEH-039,13.3,1.91,3.56,0.9,0,0.112,60.5,LIGHT,13,0.7,GOOD,CLEAR,10.0,0.082,0.1,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000006,VEH-088,43.4,0.71,3.77,3.0,0,0.136,78.0,NORMAL,12,0.79,UNDER_CONSTRUCTION,HEAVY_RAIN,2.0,0.058,0.08,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000007,VEH-084,10.6,0.39,3.05,1.4,0,0.075,69.1,NONE,5,0.28,UNDER_CONSTRUCTION,HEAVY_RAIN,2.0,0.035,0.11,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000008,VEH-051,62.4,1.52,0.93,3.0,0,0.096,87.7,LIGHT,10,0.49,POOR,CLEAR,10.0,0.06,0.04,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000009,VEH-094,50.6,1.63,0.57,1.3,0,0.082,87.3,NORMAL,5,0.41,POOR,CLEAR,10.0,0.059,0.14,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000010,VEH-125,36.4,2.99,0.67,5.1,0,0.062,55.3,NONE,8,0.38,FAIR,CLEAR,10.0,0.089,0.12,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
