multimodal_id,zone_name,hour,time_of_day_period,traffic_density,average_speed_kmh,accident_probability,pedestrian_risk,road_condition_score,noise_db,emergency_vehicle_present,incident_risk_score,traffic_impact_score,data_source
MM-REC-000001,MG Road Brigade Jn,4,night,0.511,16.7,0.589,0.073,0.84,90.6,0,37.6,50.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000002,MG Road Brigade Jn,22,night,0.353,20.8,0.967,0.884,0.88,85.5,1,77.1,56.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000003,Electronic City Toll,5,night,0.454,30.2,0.7,0.373,0.79,83.1,0,49.7,43.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000004,Koramangala Sony World Jn,9,morning_peak,0.694,12.0,0.089,0.934,0.75,88.3,0,40.3,59.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000005,Outer Ring Road Sarjapur Jn,18,evening_peak,0.72,8.6,0.81,0.75,0.67,92.7,0,69.3,76.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000006,Bellandur EcoSpace,18,evening_peak,0.826,6.4,0.72,0.156,0.65,95.0,0,52.2,74.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000007,MG Road Brigade Jn,5,night,0.268,23.4,0.031,0.255,0.84,87.6,0,13.4,26.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000008,KR Puram Hanging Bridge,12,afternoon,0.906,5.1,0.874,0.44,0.59,97.1,0,68.0,84.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000009,Outer Ring Road Sarjapur Jn,22,night,0.513,12.0,0.554,0.602,0.66,91.1,1,56.1,58.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000010,Whitefield ITPL Main Gate,6,night,0.302,21.4,0.107,0.79,0.77,84.4,0,31.4,36.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000011,MG Road Brigade Jn,23,night,0.926,8.0,0.338,0.603,0.89,94.7,0,45.3,73.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000012,Indiranagar 100ft Road,0,night,0.786,11.9,0.357,0.191,0.84,89.7,0,34.2,61.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000013,Yeshwanthpur TTMC Circle,22,night,0.523,14.5,0.978,0.086,0.62,89.7,0,57.8,60.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000014,Bellandur EcoSpace,17,evening_peak,0.746,6.3,0.059,0.074,0.59,95.0,0,19.8,57.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000015,Silk Board Junction,12,afternoon,0.567,10.3,0.9,0.079,0.67,96.2,0,54.3,63.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000016,Silk Board Junction,13,afternoon,0.345,12.6,0.899,0.756,0.68,92.1,0,67.7,59.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000017,Bellandur EcoSpace,15,afternoon,0.474,13.2,0.664,0.309,0.67,90.9,0,48.0,55.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000018,Koramangala Sony World Jn,3,night,0.225,21.9,0.169,0.177,0.9,84.2,0,16.4,27.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000019,Electronic City Toll,6,night,0.298,32.8,0.827,0.271,0.87,83.5,0,49.8,36.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000020,Electronic City Toll,15,afternoon,0.374,32.6,0.157,0.37,0.81,81.6,0,23.8,27.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000021,Koramangala Sony World Jn,7,night,0.4,17.4,0.882,0.558,0.77,84.7,0,61.9,56.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000022,Outer Ring Road Sarjapur Jn,17,evening_peak,0.697,8.8,0.472,0.94,0.64,95.1,0,58.8,70.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000023,Marathahalli Bridge,2,night,0.898,5.7,0.858,0.707,0.7,96.0,0,72.8,85.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000024,Electronic City Toll,21,evening_peak,0.319,33.8,0.558,0.549,0.91,82.9,0,44.5,34.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000025,Yeshwanthpur TTMC Circle,2,night,0.252,19.4,0.315,0.681,0.66,88.2,0,38.4,38.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000026,Koramangala Sony World Jn,18,evening_peak,0.58,14.3,0.88,0.5,0.72,88.1,1,68.6,65.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000027,Koramangala Sony World Jn,12,afternoon,0.42,18.2,0.551,0.154,0.87,87.1,0,36.2,45.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000028,Whitefield ITPL Main Gate,3,night,0.924,7.6,0.124,0.228,0.76,91.5,0,27.5,66.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000029,Electronic City Toll,17,evening_peak,0.58,24.8,0.288,0.927,0.98,86.2,0,45.0,49.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000030,Outer Ring Road Sarjapur Jn,0,night,0.672,8.2,0.883,0.253,0.57,94.2,0,60.4,70.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000031,Hebbal Flyover,2,night,0.865,9.7,0.867,0.865,0.89,90.5,0,74.7,83.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000032,Outer Ring Road Sarjapur Jn,6,night,0.215,15.6,0.561,0.398,0.74,86.6,0,41.0,42.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000033,Electronic City Toll,11,morning_peak,0.221,35.6,0.083,0.936,0.97,79.8,0,30.8,23.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000034,Hebbal Flyover,21,evening_peak,0.753,15.0,0.654,0.685,0.81,90.9,0,59.8,68.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000035,Whitefield ITPL Main Gate,20,evening_peak,0.495,16.0,0.254,0.536,0.68,85.3,0,35.5,48.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000036,Bellandur EcoSpace,21,evening_peak,0.261,14.9,0.021,0.651,0.67,88.7,0,24.4,36.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000037,Whitefield ITPL Main Gate,1,night,0.561,15.9,0.302,0.208,0.83,86.2,1,33.9,48.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000038,Whitefield ITPL Main Gate,21,evening_peak,0.833,9.2,0.812,0.147,0.73,90.4,0,55.4,74.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000039,Marathahalli Bridge,7,night,0.448,15.5,0.616,0.551,0.7,89.7,0,51.2,54.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000040,Electronic City Toll,16,afternoon,0.76,19.5,0.608,0.907,0.8,86.7,0,63.4,67.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000041,KR Puram Hanging Bridge,7,night,0.359,13.2,0.78,0.089,0.54,90.6,0,47.3,51.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000042,Hebbal Flyover,1,night,0.675,14.6,0.413,0.437,0.92,90.1,1,45.4,58.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000043,Indiranagar 100ft Road,17,evening_peak,0.747,15.4,0.013,0.522,0.94,89.8,0,25.4,53.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000044,Bellandur EcoSpace,19,evening_peak,0.307,15.9,0.375,0.081,0.69,91.1,0,26.6,38.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000045,KR Puram Hanging Bridge,1,night,0.825,5.8,0.667,0.416,0.52,93.8,0,57.6,76.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000046,Marathahalli Bridge,3,night,0.462,16.9,0.107,0.431,0.78,89.8,0,24.7,42.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000047,Indiranagar 100ft Road,6,night,0.436,22.0,0.891,0.095,0.92,83.3,0,49.8,49.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000048,MG Road Brigade Jn,9,morning_peak,0.399,20.4,0.68,0.295,0.81,89.0,0,45.9,47.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000049,KR Puram Hanging Bridge,12,afternoon,0.559,12.1,0.371,0.265,0.51,92.9,0,36.6,53.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000050,Marathahalli Bridge,2,night,0.727,9.8,0.55,0.785,0.63,92.3,0,59.0,70.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000051,Koramangala Sony World Jn,11,morning_peak,0.718,13.5,0.557,0.873,0.71,91.2,0,60.6,68.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000052,MG Road Brigade Jn,13,afternoon,0.26,22.7,0.368,0.494,0.88,86.0,0,34.0,35.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000053,KR Puram Hanging Bridge,6,night,0.488,11.1,0.147,0.869,0.61,91.9,0,39.6,52.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000054,Silk Board Junction,18,evening_peak,0.566,8.8,0.185,0.399,0.68,95.1,0,30.0,53.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000055,Hebbal Flyover,23,night,0.943,8.1,0.586,0.512,0.76,94.0,0,55.7,78.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000056,MG Road Brigade Jn,14,afternoon,0.235,24.3,0.845,0.531,0.83,87.6,0,56.5,43.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000057,Electronic City Toll,22,night,0.916,14.7,0.596,0.706,0.91,88.9,0,59.1,74.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000058,Marathahalli Bridge,4,night,0.353,16.0,0.658,0.427,0.78,90.1,0,47.8,49.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000059,Electronic City Toll,8,morning_peak,0.597,24.0,0.45,0.068,0.86,85.3,0,32.3,45.6,SYNTHETIC MULTIMODAL SIMULATION
