emergency_event_id,vehicle_id,emergency_vehicle_type,distance_to_dest_km,traffic_density,signal_count,current_speed_kmh,baseline_eta_minutes,target_optimized_eta_minutes,emergency_delay_minutes,recommended_priority,green_corridor_required,data_tag
EMG-EVT-000001,POL-04,POLICE,3.2,0.34,6,53.0,10.8,4.1,6.7,HIGH,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000002,FIRE-04,FIRE_TRUCK,5.5,0.38,11,50.6,19.7,7.1,12.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000003,AMB-04,AMBULANCE,13.2,0.72,24,31.8,53.7,16.8,36.9,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000004,AMB-03,AMBULANCE,7.3,0.71,13,31.7,29.4,9.3,20.1,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000005,FIRE-05,FIRE_TRUCK,12.1,0.25,23,58.9,39.9,15.5,24.4,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000006,FIRE-03,FIRE_TRUCK,11.5,0.59,23,39.9,44.9,14.8,30.1,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000007,POL-09,POLICE,8.7,0.76,15,25.5,38.5,11.0,27.5,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000008,AMB-08,AMBULANCE,2.5,0.31,7,54.0,11.2,3.4,7.8,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000009,AMB-07,AMBULANCE,10.4,0.62,18,39.2,37.5,13.1,24.4,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000010,AMB-12,AMBULANCE,4.9,0.54,9,37.7,18.6,6.2,12.4,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000011,AMB-04,AMBULANCE,4.8,0.88,9,22.2,23.8,6.1,17.7,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000012,AMB-09,AMBULANCE,12.8,0.71,23,29.9,53.3,16.3,37.0,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000013,FIRE-07,FIRE_TRUCK,14.8,0.79,27,20.3,76.1,18.8,57.3,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000014,POL-05,POLICE,5.8,0.49,13,43.5,23.6,7.6,16.0,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000015,AMB-08,AMBULANCE,9.1,0.26,16,53.5,29.4,11.5,17.9,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000016,AMB-16,AMBULANCE,5.9,0.48,13,45.7,23.3,7.7,15.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000017,AMB-12,AMBULANCE,12.2,0.64,23,31.5,50.8,15.6,35.2,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000018,AMB-11,AMBULANCE,14.7,0.8,26,19.6,76.2,18.6,57.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000019,FIRE-09,FIRE_TRUCK,6.7,0.69,14,25.8,32.4,8.7,23.7,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000020,AMB-13,AMBULANCE,2.6,0.58,5,38.7,10.0,3.3,6.7,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000021,FIRE-09,FIRE_TRUCK,14.8,0.86,29,23.3,72.9,19.0,53.9,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000022,AMB-19,AMBULANCE,8.1,0.63,16,31.8,34.5,10.4,24.1,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000023,AMB-07,AMBULANCE,4.6,0.49,8,42.8,16.0,5.8,10.2,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000024,FIRE-03,FIRE_TRUCK,15.9,0.62,30,31.1,66.7,20.3,46.4,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000025,AMB-08,AMBULANCE,8.7,0.59,17,38.8,33.9,11.2,22.7,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000026,AMB-04,AMBULANCE,10.2,0.31,21,52.7,36.8,13.2,23.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000027,FIRE-07,FIRE_TRUCK,8.6,0.92,16,16.8,49.9,11.0,38.9,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000028,AMB-03,AMBULANCE,10.2,0.37,21,47.4,38.1,13.2,24.9,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000029,AMB-18,AMBULANCE,15.3,0.53,29,44.2,55.6,19.6,36.0,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000030,FIRE-10,FIRE_TRUCK,3.6,0.6,7,36.0,14.4,4.6,9.8,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000031,AMB-11,AMBULANCE,10.0,0.7,21,25.0,49.2,13.0,36.2,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000032,AMB-07,AMBULANCE,13.2,0.24,24,53.5,43.6,16.8,26.8,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000033,AMB-06,AMBULANCE,2.6,0.39,4,49.5,8.0,3.2,4.8,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000034,AMB-05,AMBULANCE,4.8,0.28,9,59.0,15.7,6.1,9.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000035,AMB-05,AMBULANCE,11.0,0.31,21,56.5,36.9,14.1,22.8,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000036,AMB-03,AMBULANCE,2.7,0.64,7,33.9,13.2,3.6,9.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000037,AMB-05,AMBULANCE,11.1,0.32,22,57.7,37.9,14.3,23.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000038,AMB-01,AMBULANCE,3.9,0.87,8,15.9,24.3,5.1,19.2,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000039,AMB-10,AMBULANCE,10.5,0.96,18,10.4,82.2,13.3,68.9,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000040,AMB-05,AMBULANCE,10.7,0.91,21,20.9,55.9,13.8,42.1,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000041,AMB-14,AMBULANCE,14.4,0.21,27,63.7,46.0,18.4,27.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000042,FIRE-05,FIRE_TRUCK,10.7,0.74,19,25.7,47.8,13.6,34.2,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000043,AMB-13,AMBULANCE,7.4,0.85,14,18.8,40.4,9.5,30.9,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000044,AMB-02,AMBULANCE,6.4,0.89,11,14.4,39.9,8.1,31.8,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000045,AMB-17,AMBULANCE,15.3,0.41,30,44.0,56.9,19.7,37.2,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000046,AMB-16,AMBULANCE,10.6,0.29,21,53.1,37.2,13.7,23.5,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000047,AMB-14,AMBULANCE,14.4,0.67,25,36.4,53.7,18.2,35.5,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000048,AMB-14,AMBULANCE,14.1,0.48,26,38.9,52.9,18.0,34.9,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000049,AMB-05,AMBULANCE,6.5,0.36,14,49.7,24.6,8.5,16.1,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000050,POL-06,POLICE,7.7,0.67,14,36.4,29.5,9.8,19.7,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000051,AMB-10,AMBULANCE,3.6,0.23,7,59.3,12.0,4.6,7.4,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000052,AMB-12,AMBULANCE,4.8,0.63,9,34.2,19.2,6.1,13.1,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000053,AMB-07,AMBULANCE,3.3,0.7,8,32.2,15.7,4.4,11.3,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000054,AMB-04,AMBULANCE,12.0,0.71,21,29.9,49.3,15.2,34.1,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000055,AMB-04,AMBULANCE,16.0,0.51,28,36.9,59.6,20.3,39.3,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000056,AMB-03,AMBULANCE,3.6,0.21,6,54.7,11.1,4.5,6.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000057,AMB-02,AMBULANCE,11.1,0.59,22,38.8,43.6,14.3,29.3,CRITICAL,1,SYNTHETIC EMERGENCY V2X
