record_id,pedestrian_id,zone,pedestrian_count,distance_to_curb_m,is_crossing,vehicle_distance_m,vehicle_speed_kmh,time_to_crossing_sec,traffic_signal_state,pedestrian_signal_state,road_width_m,hour,weather,visibility_km,conflict_detected,pedestrian_risk_score,recommended_action,pedestrian_risk_label,data_type
PED-REC-000001,PED-137,KR Puram Hanging Bridge,13,3.8,0,47.5,64.3,2.66,RED,WALK,12.0,19,CLEAR,4.2,0,0.51,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000002,PED-250,Koramangala Sony World Jn,10,3.3,0,16.3,41.4,1.42,RED,WALK,12.0,3,FOG,7.4,0,0.145,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000003,PED-281,Yeshwanthpur TTMC Circle,9,9.2,0,27.6,55.8,1.78,RED,WALK,16.0,0,RAIN,6.2,0,0.303,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000004,PED-048,KR Puram Hanging Bridge,19,3.2,1,82.4,11.3,26.25,RED,WALK,24.0,9,CLOUDY,6.2,0,0.361,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000005,PED-161,Whitefield ITPL Main Gate,27,4.1,0,32.2,50.1,2.31,GREEN,DONT_WALK,32.0,7,CLEAR,7.4,0,0.603,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000006,PED-242,Silk Board Junction,1,10.2,0,15.6,72.1,0.78,YELLOW,DONT_WALK,32.0,18,CLEAR,8.4,0,0.332,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000007,PED-163,Koramangala Sony World Jn,19,11.8,0,95.2,61.7,5.55,GREEN,DONT_WALK,16.0,5,HEAVY_RAIN,8.3,0,0.473,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000008,PED-255,Bellandur EcoSpace,22,10.7,0,57.8,26.3,7.91,GREEN,DONT_WALK,12.0,11,RAIN,2.5,0,0.534,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000009,PED-225,Marathahalli Bridge,21,6.4,0,23.8,64.1,1.34,YELLOW,DONT_WALK,32.0,4,CLEAR,3.0,0,0.488,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000010,PED-071,Koramangala Sony World Jn,8,6.8,0,44.6,45.9,3.5,YELLOW,DONT_WALK,24.0,5,HEAVY_RAIN,8.1,0,0.106,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000011,PED-060,Koramangala Sony World Jn,11,11.7,0,46.4,52.5,3.18,RED,WALK,12.0,19,FOG,6.4,0,0.638,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000012,PED-051,Silk Board Junction,6,6.6,0,98.9,59.2,6.01,RED,WALK,12.0,0,FOG,9.3,0,0.071,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000013,PED-158,KR Puram Hanging Bridge,6,10.9,0,82.9,73.5,4.06,RED,WALK,12.0,13,FOG,2.6,0,0.084,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000014,PED-076,Outer Ring Road Sarjapur Jn,22,7.8,0,82.5,62.4,4.76,YELLOW,DONT_WALK,32.0,0,HEAVY_RAIN,4.4,0,0.64,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000015,PED-067,Bellandur EcoSpace,10,7.6,0,92.3,74.0,4.49,GREEN,DONT_WALK,32.0,16,CLOUDY,2.5,0,0.177,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000016,PED-125,Yeshwanthpur TTMC Circle,1,7.2,0,54.6,60.8,3.23,RED,WALK,16.0,0,HEAVY_RAIN,6.8,0,0.293,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000017,PED-210,Electronic City Toll,6,2.3,0,67.5,50.8,4.78,GREEN,DONT_WALK,32.0,0,HEAVY_RAIN,8.0,0,0.102,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000018,PED-195,Whitefield ITPL Main Gate,25,10.8,0,87.0,34.9,8.97,RED,WALK,16.0,21,CLOUDY,4.8,0,0.395,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000019,PED-001,Yeshwanthpur TTMC Circle,7,5.4,0,75.1,52.9,5.11,YELLOW,DONT_WALK,12.0,21,HEAVY_RAIN,2.9,0,0.17,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000020,PED-001,Silk Board Junction,12,4.2,0,34.7,70.9,1.76,GREEN,DONT_WALK,12.0,7,FOG,8.3,0,0.411,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000021,PED-296,Whitefield ITPL Main Gate,15,0.6,0,13.9,57.3,0.87,RED,WALK,12.0,1,HEAVY_RAIN,2.4,0,0.625,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000022,PED-120,Bellandur EcoSpace,4,11.5,0,75.0,22.9,11.79,RED,WALK,32.0,11,RAIN,7.1,0,0.297,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000023,PED-298,Koramangala Sony World Jn,1,7.4,0,7.7,40.4,0.69,GREEN,DONT_WALK,16.0,3,FOG,5.8,0,0.07,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
