record_id,timestamp,hour,zone_id,zone_name,road_name,latitude,longitude,dashcam_detection_confidence,pothole_depth_cm,pothole_width_cm,surface_area_sqm,road_roughness_iri,vehicle_vibration_g,approaching_speed_kmh,weather,lighting,severity,repair_urgency,community_reports_count,verified_status,synthetic_label
POT-000001,2026-03-30 22:54:00,22,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.982553,77.732967,0.974,7.5,28.4,0.021,8.77,2.58,35.7,CLEAR,NIGHT_UNLIT,CRITICAL,EMERGENCY_IMMEDIATE,2,1,SYNTHETIC_DASHCAM_HAZARD
POT-000002,2026-01-18 20:23:00,20,BLR-MARATH-05,Marathahalli Bridge,Outer Ring Road,12.953103,77.701188,0.796,3.7,108.5,0.04,8.28,3.37,56.0,RAIN,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000003,2026-01-07 03:48:00,3,BLR-KORAM-09,Koramangala Sony World Jn,100 Feet Intermediate Ring Road,12.938415,77.629163,0.834,4.1,33.2,0.014,5.63,1.85,36.9,CLEAR,NIGHT_UNLIT,HIGH,URGENT_24H,4,1,SYNTHETIC_DASHCAM_HAZARD
POT-000004,2026-03-01 00:42:00,0,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.925168,77.678498,0.805,16.6,71.9,0.119,10.33,0.83,27.4,CLOUDY,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000005,2026-01-21 21:28:00,21,BLR-KORAM-09,Koramangala Sony World Jn,100 Feet Intermediate Ring Road,12.930279,77.627493,0.798,6.8,19.5,0.013,4.92,3.17,38.8,CLEAR,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,2,1,SYNTHETIC_DASHCAM_HAZARD
POT-000006,2026-01-14 04:49:00,4,BLR-INDIRA-10,Indiranagar 100ft Road,100ft Road CMH Junction,12.971227,77.645822,0.81,16.9,26.0,0.044,9.4,1.77,51.8,CLEAR,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,2,1,SYNTHETIC_DASHCAM_HAZARD
POT-000007,2026-01-12 18:30:00,18,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.991168,77.730853,0.781,8.5,61.1,0.052,10.14,1.79,30.4,CLOUDY,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000008,2026-02-25 19:36:00,19,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.929083,77.678764,0.797,5.5,94.6,0.052,10.18,2.26,64.4,CLOUDY,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000009,2026-01-08 21:08:00,21,BLR-YESHW-12,Yeshwanthpur TTMC Circle,Tumkur Road / Subedarchatram Rd,13.025324,77.556603,0.807,7.4,89.1,0.066,9.42,0.36,52.9,CLEAR,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000010,2026-01-31 01:56:00,1,BLR-SILK-01,Silk Board Junction,Hosur Road / Outer Ring Road,12.920665,77.62442,0.915,5.3,84.7,0.045,10.62,2.56,17.5,RAIN,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,2,1,SYNTHETIC_DASHCAM_HAZARD
