record_id,timestamp,hour,zone_id,zone_name,lead_deceleration_mps2,approaching_speed_kmh,inter_vehicle_distance_m,time_to_collision_sec,v2v_warning_latency_ms,driver_reaction_time_sec,road_friction_coeff,traffic_density,secondary_collision_risk,reroute_recommended,synthetic_label
SEC-000001,2026-03-13 22:11:00,22,BLR-BELLAN-06,Bellandur EcoSpace,10.85,79.4,33.1,1.5,6.22,1.54,0.73,0.33,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000002,2026-02-15 16:16:00,16,BLR-KRPUR-03,KR Puram Hanging Bridge,10.71,71.2,46.9,2.37,6.98,1.87,0.41,0.93,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000003,2026-03-01 09:12:00,9,BLR-INDIRA-10,Indiranagar 100ft Road,3.47,26.9,23.2,3.1,6.84,1.81,0.61,0.74,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000004,2026-02-15 04:24:00,4,BLR-MGROAD-11,MG Road Brigade Jn,2.64,75.7,84.5,4.02,11.36,0.97,0.73,0.87,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000005,2026-03-15 21:43:00,21,BLR-INDIRA-10,Indiranagar 100ft Road,7.52,33.0,48.0,5.24,8.81,1.98,0.8,0.55,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000006,2026-02-20 22:36:00,22,BLR-KORAM-09,Koramangala Sony World Jn,10.3,64.7,10.5,0.58,8.17,1.28,0.77,0.35,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000007,2026-03-06 20:27:00,20,BLR-KRPUR-03,KR Puram Hanging Bridge,3.99,40.5,100.5,8.93,4.04,1.03,0.84,0.19,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000008,2026-01-24 09:20:00,9,BLR-MARATH-05,Marathahalli Bridge,3.66,83.9,23.2,1.0,3.26,2.17,0.5,0.71,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000009,2026-01-13 18:13:00,18,BLR-KORAM-09,Koramangala Sony World Jn,6.98,79.7,28.5,1.29,6.55,1.16,0.77,0.9,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000010,2026-02-15 05:34:00,5,BLR-INDIRA-10,Indiranagar 100ft Road,4.01,75.4,92.8,4.43,5.09,1.09,0.68,0.35,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000011,2026-03-06 04:49:00,4,BLR-INDIRA-10,Indiranagar 100ft Road,2.55,60.4,92.8,5.53,2.53,1.8,0.39,0.31,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000012,2026-01-23 16:01:00,16,BLR-INDIRA-10,Indiranagar 100ft Road,7.14,50.6,139.0,9.89,3.26,1.68,0.48,0.21,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000013,2026-03-24 16:43:00,16,BLR-INDIRA-10,Indiranagar 100ft Road,5.7,59.9,129.0,7.75,9.15,1.98,0.67,0.68,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000014,2026-02-13 16:20:00,16,BLR-ECITY-02,Electronic City Toll,2.46,50.0,66.4,4.78,8.37,0.92,0.58,0.61,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000015,2026-03-04 05:43:00,5,BLR-BELLAN-06,Bellandur EcoSpace,6.06,64.9,109.3,6.06,4.02,1.41,0.4,0.97,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000016,2026-02-17 18:46:00,18,BLR-MARATH-05,Marathahalli Bridge,3.81,56.5,9.0,0.57,5.42,1.17,0.64,0.24,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000017,2026-01-31 12:44:00,12,BLR-ECITY-02,Electronic City Toll,5.66,30.9,140.0,16.31,8.0,0.98,0.79,0.82,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000018,2026-03-11 01:56:00,1,BLR-KRPUR-03,KR Puram Hanging Bridge,3.12,74.0,77.6,3.78,9.66,1.91,0.56,0.75,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000019,2026-02-10 10:50:00,10,BLR-KRPUR-03,KR Puram Hanging Bridge,5.65,41.8,91.4,7.87,8.82,0.74,0.58,0.81,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000020,2026-02-07 03:24:00,3,BLR-KORAM-09,Koramangala Sony World Jn,8.71,24.3,26.4,3.91,11.74,0.94,0.72,0.27,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000021,2026-02-09 23:37:00,23,BLR-WFIELD-07,Whitefield ITPL Main Gate,3.0,30.5,94.9,11.2,11.64,1.53,0.76,0.97,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000022,2026-03-08 16:06:00,16,BLR-MGROAD-11,MG Road Brigade Jn,6.82,32.4,128.1,14.23,8.26,1.95,0.7,0.23,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000023,2026-03-24 22:28:00,22,BLR-WFIELD-07,Whitefield ITPL Main Gate,9.34,74.4,95.3,4.61,11.06,1.02,0.59,0.29,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000024,2026-01-24 01:25:00,1,BLR-INDIRA-10,Indiranagar 100ft Road,2.67,47.9,117.3,8.82,11.16,1.5,0.38,0.61,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000025,2026-03-05 05:12:00,5,BLR-YESHW-12,Yeshwanthpur TTMC Circle,9.31,48.6,45.5,3.37,9.42,1.6,0.53,0.31,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000026,2026-02-24 08:55:00,8,BLR-INDIRA-10,Indiranagar 100ft Road,6.28,60.8,136.8,8.1,7.46,1.35,0.67,0.3,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000027,2026-03-06 14:12:00,14,BLR-MGROAD-11,MG Road Brigade Jn,4.36,73.7,26.6,1.3,7.15,1.66,0.54,0.52,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000028,2026-02-12 02:51:00,2,BLR-YESHW-12,Yeshwanthpur TTMC Circle,6.53,77.2,59.0,2.75,10.61,1.92,0.8,0.79,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000029,2026-02-16 09:10:00,9,BLR-INDIRA-10,Indiranagar 100ft Road,8.85,54.4,77.5,5.13,3.49,0.95,0.64,0.24,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000030,2026-02-18 04:39:00,4,BLR-SILK-01,Silk Board Junction,7.74,58.9,19.0,1.16,7.68,0.9,0.54,0.2,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000031,2026-03-30 14:31:00,14,BLR-BELLAN-06,Bellandur EcoSpace,5.36,35.8,85.8,8.63,11.84,1.04,0.85,0.21,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000032,2026-02-07 13:41:00,13,BLR-MGROAD-11,MG Road Brigade Jn,6.87,44.2,85.1,6.93,6.6,1.0,0.8,0.4,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000033,2026-02-08 01:52:00,1,BLR-MARATH-05,Marathahalli Bridge,11.04,21.6,40.0,6.67,9.02,0.88,0.79,0.49,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000034,2026-01-02 04:42:00,4,BLR-BELLAN-06,Bellandur EcoSpace,6.81,54.7,15.6,1.03,8.56,1.03,0.79,0.8,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000035,2026-01-15 19:27:00,19,BLR-KORAM-09,Koramangala Sony World Jn,2.04,48.7,138.3,10.22,3.25,2.04,0.51,0.35,LOW,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000036,2026-02-11 01:49:00,1,BLR-MARATH-05,Marathahalli Bridge,10.96,29.1,36.3,4.49,4.21,1.02,0.6,0.21,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000037,2026-03-24 11:30:00,11,BLR-WFIELD-07,Whitefield ITPL Main Gate,9.01,52.6,50.8,3.48,2.63,1.37,0.7,0.62,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000038,2026-02-27 17:48:00,17,BLR-MGROAD-11,MG Road Brigade Jn,3.17,69.1,78.9,4.11,10.78,1.89,0.44,0.87,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000039,2026-01-19 05:17:00,5,BLR-KORAM-09,Koramangala Sony World Jn,5.77,20.1,57.1,10.23,9.4,1.45,0.79,0.46,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000040,2026-03-17 01:12:00,1,BLR-INDIRA-10,Indiranagar 100ft Road,2.7,81.7,136.2,6.0,5.36,1.91,0.35,0.83,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000041,2026-02-24 19:53:00,19,BLR-ECITY-02,Electronic City Toll,2.02,43.1,38.0,3.17,7.69,1.29,0.68,0.6,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000042,2026-01-19 17:16:00,17,BLR-KRPUR-03,KR Puram Hanging Bridge,5.94,60.9,17.3,1.02,4.4,1.36,0.76,0.97,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000043,2026-01-23 22:34:00,22,BLR-SILK-01,Silk Board Junction,4.5,38.2,101.7,9.58,8.17,2.12,0.72,0.88,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000044,2026-02-05 01:25:00,1,BLR-KRPUR-03,KR Puram Hanging Bridge,7.83,62.5,13.6,0.78,9.17,1.92,0.55,0.52,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000045,2026-03-24 16:13:00,16,BLR-MARATH-05,Marathahalli Bridge,8.18,58.5,86.9,5.35,4.18,1.09,0.85,0.92,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000046,2026-02-14 06:59:00,6,BLR-ECITY-02,Electronic City Toll,3.25,56.9,110.0,6.96,4.51,1.55,0.83,0.79,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000047,2026-01-16 01:07:00,1,BLR-BELLAN-06,Bellandur EcoSpace,9.75,72.0,25.8,1.29,2.86,2.04,0.4,0.45,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000048,2026-03-28 13:23:00,13,BLR-KORAM-09,Koramangala Sony World Jn,2.87,74.8,35.8,1.72,9.04,0.81,0.6,0.81,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000049,2026-02-22 18:07:00,18,BLR-YESHW-12,Yeshwanthpur TTMC Circle,6.08,65.0,26.7,1.48,4.84,0.94,0.75,0.71,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000050,2026-03-04 03:27:00,3,BLR-YESHW-12,Yeshwanthpur TTMC Circle,10.84,78.7,91.9,4.2,6.98,0.78,0.76,0.84,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000051,2026-02-23 08:58:00,8,BLR-HEBBL-04,Hebbal Flyover,8.02,68.8,45.8,2.4,7.51,2.01,0.78,0.77,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000052,2026-01-29 07:09:00,7,BLR-HEBBL-04,Hebbal Flyover,3.73,23.3,139.1,21.49,5.6,1.84,0.84,0.64,LOW,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000053,2026-01-21 10:50:00,10,BLR-SILK-01,Silk Board Junction,8.98,80.3,86.5,3.88,6.14,2.2,0.69,0.24,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000054,2026-02-04 09:40:00,9,BLR-ECITY-02,Electronic City Toll,11.2,62.4,138.5,7.99,4.54,1.64,0.76,0.15,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000055,2026-02-03 21:13:00,21,BLR-BELLAN-06,Bellandur EcoSpace,10.86,75.6,117.1,5.58,5.05,1.62,0.61,0.78,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000056,2026-02-08 17:40:00,17,BLR-HEBBL-04,Hebbal Flyover,10.86,66.2,60.8,3.31,3.37,1.66,0.44,0.46,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000057,2026-01-31 17:22:00,17,BLR-HEBBL-04,Hebbal Flyover,10.09,26.3,121.3,16.6,5.78,1.94,0.66,0.89,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000058,2026-01-11 10:56:00,10,BLR-YESHW-12,Yeshwanthpur TTMC Circle,3.27,20.5,47.8,8.39,3.25,0.72,0.38,0.82,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000059,2026-01-17 13:27:00,13,BLR-HEBBL-04,Hebbal Flyover,2.87,74.5,137.1,6.62,5.94,1.85,0.52,0.87,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000060,2026-03-05 14:54:00,14,BLR-BELLAN-06,Bellandur EcoSpace,10.03,59.3,116.8,7.09,9.15,2.1,0.45,0.54,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000061,2026-02-16 16:27:00,16,BLR-MARATH-05,Marathahalli Bridge,7.14,63.6,138.8,7.86,4.17,1.9,0.56,0.36,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000062,2026-03-06 04:27:00,4,BLR-ECITY-02,Electronic City Toll,11.02,71.5,27.0,1.36,10.36,0.74,0.84,0.92,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000063,2026-01-05 12:12:00,12,BLR-WFIELD-07,Whitefield ITPL Main Gate,6.64,81.2,104.2,4.62,10.44,1.13,0.61,0.68,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000064,2026-03-10 23:35:00,23,BLR-KORAM-09,Koramangala Sony World Jn,2.75,78.3,123.2,5.66,2.85,2.13,0.39,0.9,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000065,2026-01-27 05:12:00,5,BLR-MARATH-05,Marathahalli Bridge,6.9,66.8,51.8,2.79,5.29,1.71,0.4,0.34,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000066,2026-01-27 22:26:00,22,BLR-BELLAN-06,Bellandur EcoSpace,9.27,55.0,62.7,4.1,5.86,1.26,0.66,0.76,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000067,2026-03-12 15:55:00,15,BLR-MGROAD-11,MG Road Brigade Jn,8.86,33.0,25.9,2.83,10.99,2.05,0.4,0.68,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000068,2026-01-07 11:53:00,11,BLR-ECITY-02,Electronic City Toll,5.59,59.0,138.3,8.44,8.32,1.33,0.6,0.73,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000069,2026-01-05 09:55:00,9,BLR-ECITY-02,Electronic City Toll,9.14,57.4,76.4,4.79,3.95,0.89,0.44,0.66,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000070,2026-02-08 01:46:00,1,BLR-BELLAN-06,Bellandur EcoSpace,9.52,67.1,133.3,7.15,7.52,0.94,0.41,0.41,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000071,2026-03-04 22:26:00,22,BLR-YESHW-12,Yeshwanthpur TTMC Circle,7.4,41.8,26.2,2.26,11.08,1.07,0.51,0.45,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000072,2026-01-10 00:59:00,0,BLR-YESHW-12,Yeshwanthpur TTMC Circle,7.25,47.1,139.7,10.68,5.96,1.52,0.63,0.28,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000073,2026-03-15 21:03:00,21,BLR-WFIELD-07,Whitefield ITPL Main Gate,9.31,57.1,122.9,7.75,7.29,1.82,0.65,0.72,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000074,2026-01-27 21:35:00,21,BLR-MGROAD-11,MG Road Brigade Jn,3.4,83.8,139.5,5.99,7.81,1.17,0.58,0.34,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000075,2026-03-16 03:23:00,3,BLR-MGROAD-11,MG Road Brigade Jn,3.81,31.1,18.5,2.14,4.58,1.56,0.59,0.53,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000076,2026-03-12 13:34:00,13,BLR-INDIRA-10,Indiranagar 100ft Road,8.78,43.9,38.7,3.17,8.76,1.74,0.58,0.26,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000077,2026-03-26 00:41:00,0,BLR-ORR-08,Outer Ring Road Sarjapur Jn,5.14,20.0,39.7,7.15,8.84,2.12,0.7,0.33,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000078,2026-01-04 16:52:00,16,BLR-ORR-08,Outer Ring Road Sarjapur Jn,4.43,27.4,24.5,3.22,4.99,2.07,0.7,0.79,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000079,2026-03-12 08:59:00,8,BLR-ORR-08,Outer Ring Road Sarjapur Jn,10.84,52.3,34.9,2.4,8.0,2.08,0.75,0.36,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000080,2026-01-22 09:39:00,9,BLR-YESHW-12,Yeshwanthpur TTMC Circle,2.55,65.7,129.6,7.1,11.15,0.76,0.79,0.65,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000081,2026-03-11 16:44:00,16,BLR-INDIRA-10,Indiranagar 100ft Road,5.74,20.8,137.5,23.8,9.79,1.89,0.55,0.45,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000082,2026-01-23 15:34:00,15,BLR-SILK-01,Silk Board Junction,11.2,50.9,118.7,8.4,3.27,2.08,0.47,0.42,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000083,2026-01-06 05:55:00,5,BLR-ECITY-02,Electronic City Toll,9.93,34.1,40.7,4.3,5.11,1.18,0.53,0.7,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000084,2026-03-10 10:39:00,10,BLR-KRPUR-03,KR Puram Hanging Bridge,2.69,25.2,119.0,17.0,6.25,1.54,0.68,0.92,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000085,2026-02-15 13:17:00,13,BLR-KORAM-09,Koramangala Sony World Jn,7.81,65.1,88.0,4.87,6.44,1.41,0.68,0.36,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000086,2026-02-10 02:15:00,2,BLR-ORR-08,Outer Ring Road Sarjapur Jn,4.15,68.0,118.3,6.26,8.77,1.73,0.69,0.31,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000087,2026-02-27 07:51:00,7,BLR-HEBBL-04,Hebbal Flyover,8.06,44.6,64.8,5.23,5.64,1.36,0.64,0.76,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000088,2026-01-14 01:47:00,1,BLR-HEBBL-04,Hebbal Flyover,10.46,36.9,110.8,10.81,3.58,1.12,0.83,0.74,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000089,2026-02-16 03:28:00,3,BLR-HEBBL-04,Hebbal Flyover,8.2,84.5,61.6,2.62,5.91,1.79,0.37,0.64,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000090,2026-02-05 09:35:00,9,BLR-SILK-01,Silk Board Junction,4.89,43.1,100.7,8.41,4.03,1.43,0.36,0.22,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000091,2026-01-08 21:30:00,21,BLR-KORAM-09,Koramangala Sony World Jn,6.97,21.3,118.6,20.05,2.66,1.16,0.8,0.55,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000092,2026-02-27 07:14:00,7,BLR-YESHW-12,Yeshwanthpur TTMC Circle,5.64,74.2,61.6,2.99,3.35,0.81,0.85,0.87,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000093,2026-01-23 01:50:00,1,BLR-ECITY-02,Electronic City Toll,5.8,79.7,120.8,5.46,4.53,2.17,0.71,0.18,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000094,2026-03-02 10:07:00,10,BLR-INDIRA-10,Indiranagar 100ft Road,3.24,75.0,71.2,3.42,6.03,2.08,0.6,0.7,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000095,2026-02-07 10:35:00,10,BLR-ECITY-02,Electronic City Toll,6.25,82.0,126.9,5.57,10.29,2.2,0.81,0.25,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000096,2026-01-03 20:44:00,20,BLR-SILK-01,Silk Board Junction,6.55,58.8,92.5,5.66,11.4,2.04,0.84,0.98,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000097,2026-03-19 11:50:00,11,BLR-ORR-08,Outer Ring Road Sarjapur Jn,7.12,50.4,45.8,3.27,3.65,1.48,0.51,0.45,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000098,2026-01-19 18:28:00,18,BLR-MGROAD-11,MG Road Brigade Jn,4.48,20.2,37.4,6.67,2.95,1.85,0.45,0.49,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000099,2026-03-15 07:16:00,7,BLR-KRPUR-03,KR Puram Hanging Bridge,9.38,62.0,39.5,2.29,3.9,1.71,0.48,0.37,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000100,2026-01-09 18:17:00,18,BLR-ECITY-02,Electronic City Toll,2.99,53.8,86.0,5.75,6.61,1.82,0.75,0.81,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000101,2026-03-11 11:53:00,11,BLR-WFIELD-07,Whitefield ITPL Main Gate,8.37,47.3,29.5,2.25,11.95,1.3,0.57,0.66,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000102,2026-01-13 04:35:00,4,BLR-HEBBL-04,Hebbal Flyover,11.34,49.4,51.2,3.73,9.02,0.96,0.49,0.97,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000103,2026-02-04 06:48:00,6,BLR-HEBBL-04,Hebbal Flyover,5.5,39.2,85.4,7.84,6.59,1.85,0.78,0.23,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000104,2026-02-23 03:46:00,3,BLR-KRPUR-03,KR Puram Hanging Bridge,8.38,72.1,57.0,2.85,7.11,1.61,0.55,0.33,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000105,2026-03-21 09:34:00,9,BLR-MGROAD-11,MG Road Brigade Jn,10.58,76.4,23.6,1.11,8.32,1.25,0.71,0.16,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000106,2026-01-19 09:55:00,9,BLR-BELLAN-06,Bellandur EcoSpace,9.11,59.9,119.9,7.21,5.18,0.71,0.84,0.3,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
