record_id,timestamp,hour,day_of_week,is_weekend,zone_id,zone_name,latitude,longitude,road_name,road_condition_score,vehicle_density,vehicle_count,average_speed_kmh,congestion_level,queue_length_meters,traffic_signal_state,weather_condition,visibility_km,accident_present,construction_present,pedestrian_density,noise_level_db,emergency_vehicle_present,data_source_type
TRF-000001,2026-02-28 04:50:00,4,5,1,BLR-ECITY-02,Electronic City Toll,12.8456080749162,77.66044498025175,Hosur Elevated Expressway,0.9,0.292,73,34.5,LOW,21.3,GREEN,CLEAR,10.0,0,0,0.19,72.6,0,SYNTHETIC / SIMULATION DATA
TRF-000002,2026-03-05 20:04:00,20,3,0,BLR-KORAM-09,Koramangala Sony World Jn,12.93357098337352,77.62288686550733,100 Feet Intermediate Ring Road,0.83,0.99,270,8.4,CRITICAL,707.1,GREEN,CLEAR,10.0,0,0,0.72,93.5,0,SYNTHETIC / SIMULATION DATA
TRF-000003,2026-02-24 22:51:00,22,1,0,BLR-MARATH-05,Marathahalli Bridge,12.955178220595295,77.70174505327427,Outer Ring Road,0.73,0.237,68,15.5,HIGH,718.9,RED,RAIN,6.0,0,0,0.46,83.0,0,SYNTHETIC / SIMULATION DATA
TRF-000004,2026-03-31 16:14:00,16,1,0,BLR-ECITY-02,Electronic City Toll,12.845636524022668,77.6588845545928,Hosur Elevated Expressway,0.9,0.719,198,17.3,HIGH,604.3,RED,RAIN,6.0,0,0,0.47,85.3,0,SYNTHETIC / SIMULATION DATA
TRF-000005,2026-01-15 20:57:00,20,3,0,BLR-ORR-08,Outer Ring Road Sarjapur Jn,12.917664754420846,77.64965254449673,Sarjapur-ORR Junction,0.67,0.99,282,6.2,CRITICAL,941.6,RED,CLEAR,10.0,0,1,0.99,97.2,0,SYNTHETIC / SIMULATION DATA
TRF-000006,2026-03-07 08:18:00,8,5,1,BLR-BELLAN-06,Bellandur EcoSpace,12.925597602020561,77.67507728303663,Outer Ring Road IT Corridor,0.73,0.99,290,6.7,CRITICAL,1204.7,RED,CLEAR,10.0,0,0,0.58,97.5,0,SYNTHETIC / SIMULATION DATA
TRF-000007,2026-02-16 09:04:00,9,0,0,BLR-ORR-08,Outer Ring Road Sarjapur Jn,12.919612903584861,77.64976972344552,Sarjapur-ORR Junction,0.68,0.99,265,4.0,CRITICAL,876.0,GREEN,CLEAR,10.0,0,0,0.85,95.9,0,SYNTHETIC / SIMULATION DATA
TRF-000008,2026-01-11 10:14:00,10,6,1,BLR-MGROAD-11,MG Road Brigade Jn,12.974314607522121,77.60825051135738,Mahatma Gandhi Road,0.94,0.99,286,7.0,CRITICAL,822.7,RED,RAIN,6.0,0,0,0.85,92.3,0,SYNTHETIC / SIMULATION DATA
TRF-000009,2026-01-28 03:57:00,3,2,0,BLR-MGROAD-11,MG Road Brigade Jn,12.977114887511293,77.60792666211745,Mahatma Gandhi Road,0.88,0.37,99,21.6,HIGH,565.8,GREEN,CLEAR,10.0,0,1,0.35,80.7,0,SYNTHETIC / SIMULATION DATA
TRF-000010,2026-01-06 06:32:00,6,1,0,BLR-HEBBL-04,Hebbal Flyover,13.035910695149672,77.59742637566993,Airport Road / Bellary Road,0.87,0.358,87,21.6,HIGH,676.4,YELLOW,RAIN,6.0,0,0,0.42,84.2,0,SYNTHETIC / SIMULATION DATA
