message_id,sender_vehicle_id,sender_type,receiver_vehicle_id,distance_m,sender_speed_kmh,receiver_speed_kmh,relative_speed_kmh,acceleration_mps2,deceleration_mps2,heading_difference_deg,braking_status,communication_mode,latency_ms,packet_loss_rate,signal_strength_dbm,hazard_type,time_to_collision_sec,collision_probability,warning_required,v2v_risk_level,data_source
V2V-MSG-000001,AMB-07,AMBULANCE,VEH-259,645.1,68.0,57.7,10.3,1.34,0.0,13.6,NORMAL,C-V2V,30.35,0.012,-77.7,NORMAL_DRIVING,99.0,0.149,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000002,VEH-051,AMBULANCE,VEH-265,475.0,57.6,55.5,2.1,-5.84,5.84,33.3,HARD_BRAKING,C-V2V,64.22,0.019,-74.5,SUDDEN_BRAKING,99.0,0.076,1,WARNING,SYNTHETIC V2V TELEMETRY
V2V-MSG-000003,VEH-116,MOTORBIKE,VEH-269,214.7,22.4,17.7,4.7,2.2,0.0,37.1,NORMAL,DSRC,8.49,0.035,-76.6,NORMAL_DRIVING,99.0,0.072,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000004,VEH-111,TRUCK,VEH-205,219.3,55.7,55.1,0.6,-2.41,2.41,45.0,LIGHT_BRAKING,DSRC,3.99,0.037,-79.8,NORMAL_DRIVING,99.0,0.039,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000005,VEH-107,BUS,VEH-172,199.4,82.2,76.6,5.6,-0.87,0.87,36.5,LIGHT_BRAKING,DSRC,7.93,0.03,-76.5,HAZARD,99.0,0.11,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000006,VEH-106,SUV,VEH-224,201.0,51.8,51.4,0.4,-0.92,0.92,8.3,LIGHT_BRAKING,DSRC,4.0,0.032,-74.3,HAZARD,99.0,0.098,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000007,VEH-046,CAR,VEH-294,1041.7,23.3,24.6,-1.3,0.64,0.0,11.1,NORMAL,C-V2V,33.13,0.014,-90.9,NORMAL_DRIVING,99.0,0.135,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000008,VEH-140,BUS,VEH-223,792.3,44.8,32.7,12.1,-2.2,2.2,5.5,LIGHT_BRAKING,C-V2V,29.75,0.027,-83.3,NORMAL_DRIVING,99.0,0.107,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000009,VEH-069,BUS,VEH-255,361.4,16.3,20.1,-3.8,-6.39,6.39,2.0,HARD_BRAKING,C-V2V,38.53,0.018,-74.8,SUDDEN_BRAKING,99.0,0.119,1,WARNING,SYNTHETIC V2V TELEMETRY
V2V-MSG-000010,VEH-117,TRUCK,VEH-287,242.1,21.2,28.5,-7.3,-0.45,0.45,24.8,LIGHT_BRAKING,DSRC,6.42,0.035,-80.9,NORMAL_DRIVING,99.0,0.139,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000011,VEH-092,SUV,VEH-183,860.2,34.2,52.0,-17.8,-1.16,1.16,8.7,LIGHT_BRAKING,C-V2V,41.85,0.016,-82.0,NORMAL_DRIVING,99.0,0.071,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000012,AMB-07,AMBULANCE,VEH-266,180.4,31.2,27.3,3.9,1.39,0.0,1.4,NORMAL,DSRC,2.96,0.023,-70.1,NORMAL_DRIVING,99.0,0.015,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000013,VEH-077,TRUCK,VEH-223,82.1,26.8,43.0,-16.2,-8.62,8.62,28.5,CRASH_STOP,DSRC,5.47,0.014,-54.0,ACCIDENT,99.0,0.925,1,CRITICAL,SYNTHETIC V2V TELEMETRY
V2V-MSG-000014,VEH-070,BUS,VEH-290,182.0,57.6,53.7,3.9,-1.7,1.7,3.0,LIGHT_BRAKING,DSRC,6.03,0.02,-75.2,HAZARD,99.0,0.114,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000015,VEH-029,BUS,VEH-229,19.4,54.7,64.2,-9.5,-0.66,0.66,4.4,LIGHT_BRAKING,DSRC,5.77,0.01,-44.8,NORMAL_DRIVING,99.0,0.1,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000016,VEH-054,AMBULANCE,VEH-210,202.6,30.5,35.3,-4.8,0.74,0.0,34.7,NORMAL,DSRC,8.05,0.031,-77.6,NORMAL_DRIVING,99.0,0.103,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000017,VEH-136,MOTORBIKE,VEH-154,855.0,53.3,58.4,-5.1,-2.34,2.34,26.6,LIGHT_BRAKING,C-V2V,37.61,0.007,-84.7,NORMAL_DRIVING,99.0,0.036,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000018,VEH-089,AMBULANCE,VEH-224,269.1,31.9,22.9,9.0,-8.18,8.18,39.3,CRASH_STOP,DSRC,5.42,0.054,-86.6,ACCIDENT,99.0,0.969,1,CRITICAL,SYNTHETIC V2V TELEMETRY
V2V-MSG-000019,VEH-090,AMBULANCE,VEH-279,282.7,69.6,88.7,-19.1,-1.42,1.42,36.2,LIGHT_BRAKING,DSRC,5.82,0.053,-89.3,PEDESTRIAN_CONFLICT,99.0,0.146,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000020,VEH-017,AMBULANCE,VEH-244,105.9,56.6,70.0,-13.4,-1.78,1.78,35.5,LIGHT_BRAKING,C-V2V,36.56,0.016,-62.2,NORMAL_DRIVING,99.0,0.086,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000021,VEH-142,CAR,VEH-291,170.0,80.0,97.1,-17.1,-1.75,1.75,29.2,LIGHT_BRAKING,DSRC,4.22,0.028,-68.5,EMERGENCY_VEHICLE,99.0,0.06,1,WARNING,SYNTHETIC V2V TELEMETRY
V2V-MSG-000022,VEH-047,BUS,VEH-292,836.7,82.0,92.1,-10.1,0.03,0.0,25.1,NORMAL,C-V2V,25.17,0.014,-84.9,NORMAL_DRIVING,99.0,0.135,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000023,VEH-020,AMBULANCE,VEH-214,275.1,43.2,59.1,-15.9,-0.05,0.05,0.1,LIGHT_BRAKING,DSRC,7.15,0.052,-88.9,EMERGENCY_VEHICLE,99.0,0.056,1,WARNING,SYNTHETIC V2V TELEMETRY
V2V-MSG-000024,VEH-044,BUS,VEH-295,110.6,23.0,35.9,-12.9,2.43,0.0,6.6,NORMAL,DSRC,2.95,0.019,-61.6,NORMAL_DRIVING,99.0,0.016,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000025,VEH-013,TRUCK,VEH-262,48.9,43.3,54.6,-11.3,-0.29,0.29,19.0,LIGHT_BRAKING,DSRC,6.77,0.012,-46.1,NORMAL_DRIVING,99.0,0.057,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000026,VEH-102,MOTORBIKE,VEH-206,137.8,48.7,58.6,-9.9,1.2,0.0,29.0,NORMAL,C-V2V,51.25,0.025,-64.2,NORMAL_DRIVING,99.0,0.115,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000027,VEH-143,AMBULANCE,VEH-292,178.5,43.8,62.9,-19.1,2.2,0.0,9.8,NORMAL,DSRC,2.21,0.023,-71.0,NORMAL_DRIVING,99.0,0.03,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000028,VEH-094,SUV,VEH-197,743.1,81.0,88.3,-7.3,2.1,0.0,28.4,NORMAL,C-V2V,52.5,0.026,-78.8,NORMAL_DRIVING,99.0,0.086,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000029,VEH-008,SUV,VEH-297,21.5,66.9,76.1,-9.2,-2.11,2.11,40.0,LIGHT_BRAKING,DSRC,7.74,0.005,-43.8,NORMAL_DRIVING,99.0,0.126,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000030,VEH-078,CAR,VEH-236,183.8,72.5,51.7,20.8,2.39,0.0,2.0,NORMAL,DSRC,3.47,0.02,-74.8,NORMAL_DRIVING,31.81,0.014,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000031,AMB-07,AMBULANCE,VEH-206,279.5,25.3,15.9,9.4,-0.82,0.82,22.8,LIGHT_BRAKING,DSRC,5.29,0.048,-92.6,HAZARD,99.0,0.052,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000032,AMB-07,AMBULANCE,VEH-217,164.7,43.7,37.2,6.5,-0.54,0.54,17.3,LIGHT_BRAKING,DSRC,5.67,0.022,-71.8,HAZARD,91.22,0.131,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000033,VEH-118,SUV,VEH-266,94.3,45.3,42.2,3.1,1.87,0.0,0.3,NORMAL,C-V2V,54.4,0.027,-59.6,NORMAL_DRIVING,99.0,0.144,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000034,VEH-013,BUS,VEH-189,569.3,52.2,48.8,3.4,1.51,0.0,12.0,NORMAL,C-V2V,43.92,0.006,-74.8,NORMAL_DRIVING,99.0,0.097,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000035,AMB-07,AMBULANCE,VEH-286,233.0,30.0,15.1,14.9,0.08,0.0,13.0,NORMAL,DSRC,3.74,0.038,-80.9,HAZARD,56.3,0.023,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000036,VEH-048,MOTORBIKE,VEH-289,939.3,40.2,24.7,15.5,-6.89,6.89,11.4,HARD_BRAKING,C-V2V,43.02,0.013,-84.6,SUDDEN_BRAKING,99.0,0.107,1,WARNING,SYNTHETIC V2V TELEMETRY
V2V-MSG-000037,VEH-042,BUS,VEH-218,243.8,58.1,40.7,17.4,0.21,0.0,11.7,NORMAL,DSRC,6.63,0.036,-85.7,NORMAL_DRIVING,50.44,0.114,0,SAFE,SYNTHETIC V2V TELEMETRY
